?character	?state	?description 
<http://purl.org/phenoscape/uuid/4354f20c-12f0-4317-9f49-97857648ce1c>	<http://purl.org/phenoscape/uuid/29b47568-9346-49a2-8d4b-024d288834b4>	Caudal fin: modified heterocercal
<http://purl.org/phenoscape/uuid/029995b9-475d-4418-8c04-ddcc9b286906>	<http://purl.org/phenoscape/uuid/2b80e8d8-c5d3-49d3-9939-a7969e380db3>	Pelvic claspers: present
<http://purl.org/phenoscape/uuid/bdb02df6-08bc-41b5-a154-1eb71cb8ab12>	<http://purl.org/phenoscape/uuid/3059e97a-0628-498d-bfa2-087df7605d95>	Upper hypurals and ural centra: fused
<http://purl.org/phenoscape/uuid/cbec1e8a-43dc-4cdc-911e-8509e295131f>	<http://purl.org/phenoscape/uuid/34502fb6-e4d9-48c9-a566-883192c32492>	The presence of a clasper on the male pelvic fin: absent
<http://purl.org/phenoscape/uuid/74781db1-bfa1-4a61-9600-bfc5fb4206f3>	<http://purl.org/phenoscape/uuid/3477316d-44c7-4caa-be07-eb750d469cd9>	Pectorals: short, not reaching pelvic base, about 8 weak rays, probably all unbranched
<http://purl.org/phenoscape/uuid/dc98bb9a-45fc-4579-a215-fef785458f76>	<http://purl.org/phenoscape/uuid/3626a5e8-a759-4514-adf8-eaacb13e8ad9>	A mass of cartilage, or uroneural cartilage, apparently originated by fusion of cartilaginous ural neural arches: absent
<http://purl.org/phenoscape/uuid/706cdf33-c0f8-4fe0-94b5-be02b5448ead>	<http://purl.org/phenoscape/uuid/363f4d11-6f7d-4ab8-81c5-b005af5f71bd>	posterior dorsal fin: absent
<http://purl.org/phenoscape/uuid/d2d7f5bb-de08-403a-8363-9183e1f13804>	<http://purl.org/phenoscape/uuid/3b1678aa-7628-41b0-8799-7eb0fe26aac2>	Pectoral propterygium fused with first pectoral ray: absent
<http://purl.org/phenoscape/uuid/214146f7-359a-4c9a-88d2-72590daca8a5>	<http://purl.org/phenoscape/uuid/3fcaa86a-6d30-4e95-9876-f6aee24f73c3>	Myxopterygial claspers: absent
<http://purl.org/phenoscape/uuid/f5314950-1990-4b65-99d4-ffc160093f71>	<http://purl.org/phenoscape/uuid/40b16d49-339f-4ee4-aa6c-5cf2f53e167b>	Caudal fin: heterocercal
<http://purl.org/phenoscape/uuid/0f5b8679-a65e-4969-a7a9-0c9a118b0320>	<http://purl.org/phenoscape/uuid/4424d27d-a630-45ec-b8b2-ec01d6917834>	Lateropterygium of pelvic girdle: thin
<http://purl.org/phenoscape/uuid/01add107-efec-4b88-838d-eeb9abb08d92>	<http://purl.org/phenoscape/uuid/44d431ab-7790-43a0-a3f2-38428d6dffeb>	Shape of the disc (expressed as disc length/ disc width): oval, length twice the width
<http://purl.org/phenoscape/uuid/05539173-9ff5-4988-8aed-9111d9ad5ae5>	<http://purl.org/phenoscape/uuid/45902043-46e5-47df-8e84-f43a4b0b2dbb>	(K8.) Lepidotrichia: present
<http://purl.org/phenoscape/uuid/28a242fe-c7e7-42d4-8005-35ec32f3f1a0>	<http://purl.org/phenoscape/uuid/464785a8-591e-4d2e-bc8d-6eb7a44de031>	Lepidotrichia: present
<http://purl.org/phenoscape/uuid/511d4a3e-0144-4dce-87bc-9d381a521fda>	<http://purl.org/phenoscape/uuid/477fc7d2-8f6b-4d3d-a579-3c9c47597a84>	Not surprisingly, the enhanced mobility of a well-developed distal endoskeleton is accompanied by an apparent reduction in the length of the distal lepidotrichia: 
<http://purl.org/phenoscape/uuid/a9990f14-08f9-4f95-9510-b7b4cd26dad3>	<http://purl.org/phenoscape/uuid/47d10e32-86c2-43d2-8302-5042da8cf079>	Pectoral-fin length: Relatively short pectoral-fin length, 15.2-18.7% SL in S. broccae, S. leptoura, and S. papilliferus
<http://purl.org/phenoscape/uuid/e7b7ca83-44d6-4378-91de-8846efd06ef3>	<http://purl.org/phenoscape/uuid/51381d10-6e0f-44fb-8c03-43e0931d1cb5>	This suggests that the fin fanned out and would have been paddle-shaped.: paddle shaped
<http://purl.org/phenoscape/uuid/4c80655c-8939-4285-a06f-846ebb830db7>	<http://purl.org/phenoscape/uuid/5e24e62f-1547-43dc-bb9b-b19704d72e97>	Uroneural knob: knob-like thickening present at the distal end of the uroneural
<http://purl.org/phenoscape/uuid/4c80655c-8939-4285-a06f-846ebb830db7>	<http://purl.org/phenoscape/uuid/535cdbde-0b30-4855-8472-c08c7b599d0a>	Uroneural knob: no knob-like thickening at the distal end of the uroneural
<http://purl.org/phenoscape/uuid/57060cb9-6006-4d2f-96ca-71ae64656832>	<http://purl.org/phenoscape/uuid/656917dd-3299-4254-ab79-f9f118b83913>	Caudal fin: heterocercal
<http://purl.org/phenoscape/uuid/05539173-9ff5-4988-8aed-9111d9ad5ae5>	<http://purl.org/phenoscape/uuid/6714dfd2-5eac-4837-85b5-27f198963022>	(K8.) Lepidotrichia: absent
<http://purl.org/phenoscape/uuid/01add107-efec-4b88-838d-eeb9abb08d92>	<http://purl.org/phenoscape/uuid/68b1bec7-32d8-4941-8720-561ed08d8252>	Shape of the disc (expressed as disc length/ disc width): inapplicable, since the first dorsal fin is not modified into a disc
<http://purl.org/phenoscape/uuid/49a58330-ad2f-4682-9c1d-ea131f1a9140>	<http://purl.org/phenoscape/uuid/6def0a4e-8ef0-45dc-a7b5-c05e753f6cfb>	Lepidotrichia: present
<http://purl.org/phenoscape/uuid/01add107-efec-4b88-838d-eeb9abb08d92>	<http://purl.org/phenoscape/uuid/7086dee4-7aed-4451-b673-09894f86c39d>	Shape of the disc (expressed as disc length/ disc width): elongate and slender oval, length two and one-half times the width
<http://purl.org/phenoscape/uuid/70f7c483-c86e-4450-b175-e5ffcb0e209b>	<http://purl.org/phenoscape/uuid/723c0243-e4f9-4e5c-8b8d-cc879ecf42a9>	(F31.) Heterocercal tail: absent
<http://purl.org/phenoscape/uuid/214146f7-359a-4c9a-88d2-72590daca8a5>	<http://purl.org/phenoscape/uuid/7353c9dd-c66e-4975-a04f-df1a4bd23819>	Myxopterygial claspers: present
<http://purl.org/phenoscape/uuid/b6f7a80e-f0b2-4060-8cb3-13f61e3a0b1b>	<http://purl.org/phenoscape/uuid/73d03b13-639b-4462-8a7c-355b1a4ff639>	Autogenous lateral pelvic cartilages present (homoplastic with Myctophiformes): Autogenous lateral pelvic cartilages present
<http://purl.org/phenoscape/uuid/4354f20c-12f0-4317-9f49-97857648ce1c>	<http://purl.org/phenoscape/uuid/73d1630b-a788-4fee-8916-330d4416606b>	Caudal fin: heterocercal, upper caudal rays elongated
<http://purl.org/phenoscape/uuid/1a2cb422-021e-4d2d-bb7f-125167feb7b4>	<http://purl.org/phenoscape/uuid/73d66c5a-ff94-4fff-bdeb-8549e0282f68>	The fibulare and intermedium are covered by lepidotrichia, but their proximal margins show the same relative proportions as the fibula and tibia.: 
<http://purl.org/phenoscape/uuid/c2b0c522-6c01-4b06-9b53-0459a5af0088>	<http://purl.org/phenoscape/uuid/7707f00c-ae46-4fd9-93a8-740fe4dc2015>	Pectoral fin (POPLIN & LUND 2000, char. 41; COATES 1999, char. 58; LUND 2000, char. 61): lobed base
<http://purl.org/phenoscape/uuid/8814fb52-3613-454e-a06e-8bcfb55d73cc>	<http://purl.org/phenoscape/uuid/7897c2a8-a940-4eff-b8b0-6d96fc9764d4>	Pigmentation pattern on caudal-fin rays in  alcohol-preserved material: distinct  dark brown to black lines on middle rays
<http://purl.org/phenoscape/uuid/fb624e58-9616-4153-9a1f-fea8de455fbf>	<http://purl.org/phenoscape/uuid/7d8a3fff-b291-412a-a67f-5cb829434d51>	caudal fin: heterocercal
<http://purl.org/phenoscape/uuid/06b722e5-b8cb-422d-8370-d91a3f2cfcb1>	<http://purl.org/phenoscape/uuid/839ec6bf-d7a7-4862-8ab1-f8b1187b083d>	Hypurals, degree of fusion (+ indicates fused together): all the hypurals are fused to the centrum, and hypural 5 is not free
<http://purl.org/phenoscape/uuid/6334a0b3-b526-449c-904e-d0f8740e9fb6>	<http://purl.org/phenoscape/uuid/843cddfe-3381-4a8e-8ad3-1a35d65ed216>	Dermal pelvic clasper ossifications: absent
<http://purl.org/phenoscape/uuid/c01d4079-70c0-434d-8847-da747b9189dc>	<http://purl.org/phenoscape/uuid/869b71b2-fc90-427f-a376-d2b9f12497fc>	(G3.) Mixipterygial claspers of male pelvic fins: absent
<http://purl.org/phenoscape/uuid/251550bc-4fd4-4dff-85b4-44a3625ffe7e>	<http://purl.org/phenoscape/uuid/8a9a4672-3347-4252-8a9a-8fb32ab09faa>	Hypurals: autogenous hypurals
<http://purl.org/phenoscape/uuid/790f1103-eb32-4765-a373-fee73359c869>	<http://purl.org/phenoscape/uuid/90481d97-eb23-4d66-85fb-c55f0154ce5e>	Pectoral splint: absent
<http://purl.org/phenoscape/uuid/49a58330-ad2f-4682-9c1d-ea131f1a9140>	<http://purl.org/phenoscape/uuid/9381e413-6ceb-4b95-96b1-9c9d2988b94c>	Lepidotrichia: absent
<http://purl.org/phenoscape/uuid/fb624e58-9616-4153-9a1f-fea8de455fbf>	<http://purl.org/phenoscape/uuid/96670b4b-592a-449e-96ea-b36f3f6d17ca>	caudal fin: extended heterocercal
<http://purl.org/phenoscape/uuid/282c379d-a596-4c74-9502-d9bf1d567ae2>	<http://purl.org/phenoscape/uuid/9b4a81cd-93bb-4ed1-a17f-5368504115a2>	Length of the disc (as a percentage of SL): inapplicable, since the first dorsal fin is not modified into a disc
<http://purl.org/phenoscape/uuid/c2720398-6610-4c91-b9fd-3b0b7324f61b>	<http://purl.org/phenoscape/uuid/a3292fca-92fb-4db2-87cf-fca6ac2f5180>	Lepidotrichia: present jointed
<http://purl.org/phenoscape/uuid/64b0abd6-7b21-451c-b0ee-a1ff1ae7ef1d>	<http://purl.org/phenoscape/uuid/a74244cd-b93a-41f3-a764-8708d03efe65>	Ventral marginal cartilage of clasper: not elongated
<http://purl.org/phenoscape/uuid/877a170c-e721-4652-83e1-13ee8b2c9fa3>	<http://purl.org/phenoscape/uuid/a76765ba-68f6-4654-b89a-dc082cd617ba>	Anal fin long (Fink & Fink 1981), with more than 150 rays: anal fin long with more than 150 rays
<http://purl.org/phenoscape/uuid/8c5ef67d-1cb9-4a8c-b30b-b565f9c7fc6c>	<http://purl.org/phenoscape/uuid/a7c2743b-ae56-42d6-b6e5-80d59e4240b1>	Proximal portions of principal caudal-fin rays: linear or modified, but not arched dorsally
<http://purl.org/phenoscape/uuid/45f4aec9-5e70-428a-8eb8-71b9b610c6b4>	<http://purl.org/phenoscape/uuid/ad8218e9-c746-4fa9-8f5d-d5c6520860c0>	Anal fin long, falcate, opposed by a short, remote dorsal fin: present
<http://purl.org/phenoscape/uuid/2bb81414-7020-48cf-b31a-232a9960bc09>	<http://purl.org/phenoscape/uuid/b0226c76-90d5-4315-a285-3ead47d87d5b>	Conditions of the upper caudal hypurals (hypurals 3-5): upper hypurals fused to each other as a single plate
<http://purl.org/phenoscape/uuid/857303d9-c993-4007-b765-b7e583b948f6>	<http://purl.org/phenoscape/uuid/b414475d-cbe9-40b8-9829-54a0b8efb888>	Hypurals are: fused into a single plate
<http://purl.org/phenoscape/uuid/17173973-8bbb-4eab-9b71-3a3a24b20f6f>	<http://purl.org/phenoscape/uuid/b72fd051-0680-4e24-b4d5-f3898d3da59c>	More posterior pectoral fin rays offset posteriorly from anterior ray. Inadvertently listed as a Silurioid character in Fink & Fink 1996:239: More posterior pectoral fin rays offset posteriorly from anterior ray
<http://purl.org/phenoscape/uuid/03d6eeaa-13f7-47bc-80b4-fad817400eef>	<http://purl.org/phenoscape/uuid/bb228127-e5c6-4262-8ef2-f93ef4da75e2>	Uroneural: fused with upper caudal plate
<http://purl.org/phenoscape/uuid/a041611f-f65e-474f-9036-11da63522b14>	<http://purl.org/phenoscape/uuid/c0e79243-1640-42b4-ae6a-463f86305892>	Ventral lobe of tail supported by hypochordal radials extending beyond level of body wall: absent
<http://purl.org/phenoscape/uuid/46ba20ba-f43d-430c-8611-2b491aaa4c9a>	<http://purl.org/phenoscape/uuid/c1543375-d425-45f9-9bcd-043318b04ff8>	Haemal spine: Fused/not fused to preural centrum 2: fused
<http://purl.org/phenoscape/uuid/ab177290-8982-4f1a-979f-642ff0135485>	<http://purl.org/phenoscape/uuid/c3b5b3b3-90b8-4bbb-b663-296d9135b14f>	Pelvic fins: smaller than in male but similarly shaped
<http://purl.org/phenoscape/uuid/2d752646-7b53-462c-8acd-1bd906c39146>	<http://purl.org/phenoscape/uuid/c71fc362-3369-43e3-a1b6-6078b7128534>	Enlarged anal fin with rounded distal profile in adult males: present
<http://purl.org/phenoscape/uuid/be81c7d6-525d-47db-a3df-029a48d299cf>	<http://purl.org/phenoscape/uuid/cc84c32e-5e5b-4e56-a7bd-66d80d9b0e1b>	Coracoid-uppermost radial: separated
<http://purl.org/phenoscape/uuid/c20304c4-1b82-436a-b133-5ae67b4e4ab0>	<http://purl.org/phenoscape/uuid/cd964ff4-b852-4b22-8100-6c8d49228ee1>	Parhypural and lower hypural plate: fused
<http://purl.org/phenoscape/uuid/947cd53f-bb4b-45f0-9b58-4c13085dd05d>	<http://purl.org/phenoscape/uuid/db6c27b5-7156-4bc2-8837-581a79ae6ccb>	Caudal fin: forked with rounded lobes
<http://purl.org/phenoscape/uuid/c2720398-6610-4c91-b9fd-3b0b7324f61b>	<http://purl.org/phenoscape/uuid/e13c2c06-f5b8-4b48-97e0-7e78323bd13b>	Lepidotrichia: present unjointed
<http://purl.org/phenoscape/uuid/8672a96f-651b-46ab-bc5c-fcf414375384>	<http://purl.org/phenoscape/uuid/e4443cd6-b324-4f74-98a9-5095b132be59>	Dorsal and anal fins long and pointed: present
<http://purl.org/phenoscape/uuid/eeb4f024-1add-4137-a33a-b4d8de582b51>	<http://purl.org/phenoscape/uuid/e5cb577e-44fd-4c9d-8293-4ccdf4c02a70>	Process on proximal radial of seventh anal-fin pterygiophore: present
<http://purl.org/phenoscape/uuid/36b6fecf-79c8-4adf-bc00-b4e17524ab01>	<http://purl.org/phenoscape/uuid/e631a1ee-34eb-4ed3-9f7f-4ea2b5bdb8d9>	Epicranial section of dorsal fin: presence of an epicranial section
<http://purl.org/phenoscape/uuid/5db42217-4860-4b7e-9850-ab33922933f4>	<http://purl.org/phenoscape/uuid/e73dbb0d-8f16-4141-8860-cfdd4973d8e4>	Dorsal fin: anterior to the first neural spine, supraneurals absent
<http://purl.org/phenoscape/uuid/9d38b456-161b-4dc0-817c-e51dd07e8438>	<http://purl.org/phenoscape/uuid/eb7a7910-9314-442f-a8d0-6ff5e595a45f>	Anterior dorsal fin base plate calcified: absent
<http://purl.org/phenoscape/uuid/97986be2-f921-4753-9222-0323e694cd70>	<http://purl.org/phenoscape/uuid/f2eea4f6-4f7d-4f7b-977f-4790b7bc1fb3>	Relative size of epichordal and hypochordal lepidotrichia: epichordals less developed than hypochordals
<http://purl.org/phenoscape/uuid/6473a511-6b31-4b9c-8925-d5d2c328a052>	<http://purl.org/phenoscape/uuid/f82a1edf-4f7e-4f8d-a9d7-2cf09d3b94a6>	Segmented lepidotrichia have been reported in Strepsodus (Andrews, 1973, 1985; Jeffery, 2001), Screbinodus (Andrews, 1973, 1985), Gooloogongia (Johanson and Ahlberg, 2001): 
<http://purl.org/phenoscape/uuid/a8cc388a-a15a-476c-b3aa-e5de2438692d>	<http://purl.org/phenoscape/uuid/f911bb1b-6ed6-4e3a-803a-f0dbde4d7c63>	Upper hypurals: remaining unfused
<http://purl.org/phenoscape/uuid/62125799-6bab-425f-8f53-5c49e5215151>	<http://purl.org/phenoscape/uuid/fb877ed8-4873-42a2-bd9e-774380e62227>	Parhypural: fused with PU1
<http://purl.org/phenoscape/uuid/6e14c91b-7b53-4102-9d32-fb613a5c3921>	<http://purl.org/phenoscape/uuid/fbd05f48-bf85-479f-bf71-71f2d6762359>	Anterior dorsal proximal radials: anterior dorsal proximal radials generally not mutually attached
<http://purl.org/phenoscape/uuid/64b0abd6-7b21-451c-b0ee-a1ff1ae7ef1d>	<http://purl.org/phenoscape/uuid/fcee52e8-e4fb-4660-a31c-5b9b7f6b3a96>	Ventral marginal cartilage of clasper: elongated
<http://purl.org/phenoscape/uuid/4a9174b8-5b01-4a20-9418-f1dc0933beda>	<http://purl.org/phenoscape/uuid/008b11c1-e5fb-4374-8fb0-95f4468903e9>	Ventral marginal cartilage: well elongated
<http://purl.org/phenoscape/uuid/4a422492-e672-4e75-9f45-bf1e70a15eda>	<http://purl.org/phenoscape/uuid/01e2d5f1-489b-4ed9-b83f-98e5df0a4c64>	Medial bony lamella on proximal radial of first anal-fin pterygiophore: present
<http://purl.org/phenoscape/uuid/762f025a-7183-4a4c-b0d5-bc4b554235ce>	<http://purl.org/phenoscape/uuid/041bf790-55e9-4c5a-a01f-e6c439430182>	No. of rudimentary pectoral fin rays: no rudimentary rays
<http://purl.org/phenoscape/uuid/a041611f-f65e-474f-9036-11da63522b14>	<http://purl.org/phenoscape/uuid/083212c9-8dae-4d6f-86fb-99d709bf5c93>	Ventral lobe of tail supported by hypochordal radials extending beyond level of body wall: present
<http://purl.org/phenoscape/uuid/5201c12c-aad5-4a39-9335-21dc7570b09e>	<http://purl.org/phenoscape/uuid/0a9abd2c-7c9c-4ea8-a50e-8eee31be470b>	Tail shape: dorsal lobe much larger than ventral
<http://purl.org/phenoscape/uuid/9d2e3945-96b5-4199-a6d3-031f36a7ec17>	<http://purl.org/phenoscape/uuid/0eee0ee0-6afd-4eea-a513-b557852cb6c9>	Anterior border of pectoral-fin spine with small serrations along entire margin at some point in ontogeny: anterior border of pectoral-fin spine with many small serrations, twice the number found along the posterior border
<http://purl.org/phenoscape/uuid/3182e980-14cb-48c7-b88b-f591d452e31a>	<http://purl.org/phenoscape/uuid/1ced10ec-5caa-4077-956a-f3252311b67d>	Caudal fin lobes: broadly rounded instead of acutely angled caudal-fin lobes
<http://purl.org/phenoscape/uuid/6e14c91b-7b53-4102-9d32-fb613a5c3921>	<http://purl.org/phenoscape/uuid/1ea08a9b-c9a6-4ca4-a25a-16fdeeb1de25>	Anterior dorsal proximal radials: tightly mutually attached
<http://purl.org/phenoscape/uuid/63a782bb-f581-47e4-b306-bc1085a5eefb>	<http://purl.org/phenoscape/uuid/2265e8f1-4b3a-45fc-a1f1-be03e7a15e78>	Parhypural and preural centrum 1: fused in large adults
<http://purl.org/phenoscape/uuid/6db0bf79-6a6b-49ba-ad40-2a44a8428feb>	<http://purl.org/phenoscape/uuid/22a92f83-4cfb-4160-911a-4fde94a5b895>	Lepidotrichia in paired appendages: present
<http://purl.org/phenoscape/uuid/edb2fcde-a55f-48a6-b9bc-7df42b7d6da9>	<http://purl.org/phenoscape/uuid/298970f9-0fc7-4fa2-984e-ae2d86f2677a>	(ciii.) Dermal fin-rays in tail: present
<http://purl.org/phenoscape/uuid/612315d0-39fe-4447-be9a-dde055148ad5>	<http://purl.org/phenoscape/uuid/30ea261f-b74c-4b47-b041-05705ff724d0>	Pectoral spine shape: pectoral spine not elongate, slightly recurved
<http://purl.org/phenoscape/uuid/3182e980-14cb-48c7-b88b-f591d452e31a>	<http://purl.org/phenoscape/uuid/33d6728a-79c7-43c0-b6be-0106645c5a65>	Caudal fin lobes: acutely angled caudal-fin lobes
<http://purl.org/phenoscape/uuid/8a2c6e38-f98a-4a12-87da-1468c7f47dec>	<http://purl.org/phenoscape/uuid/36c11898-bdff-4688-9f07-f1a1b9a90bee>	Anal fin: subtriangular, its origin at vertical posterior to dorsal-fin base; anal-fin rays ii,5 plus one rudimentary ray on fin origin. Anal-fin first pterygi- ophore posterior to neural spines of 20th or 21st vertebra; tip of its last pterygiophore immediately anterior to neural spine of 24th vertebra. Six anal-fin pterygiophores
<http://purl.org/phenoscape/uuid/b4bad802-ec90-4505-897b-421e5ca1709a>	<http://purl.org/phenoscape/uuid/3fda083d-e201-46a0-a7df-e7e2815b025e>	Posterior nuchal plate: a wide plate of bone, approximately twice as long as broad and expanding gently from base to tip
<http://purl.org/phenoscape/uuid/7d92135c-ce41-4957-b8df-98446d86604d>	<http://purl.org/phenoscape/uuid/42371d5a-c90e-434f-89c1-94c6f867a4bc>	Presence or absence of posterior pectoral-spine serrae: posterior margin of pectoral spine without serrae
<http://purl.org/phenoscape/uuid/c2720b1c-7b7a-484f-8b38-0b3ad24ea33f>	<http://purl.org/phenoscape/uuid/4247675d-72d1-4610-a1ea-a13b1c6309d7>	Pelvic-fin rays: plain brown
<http://purl.org/phenoscape/uuid/ef9e4559-72b1-4ae3-8f5a-ff726ebc81c3>	<http://purl.org/phenoscape/uuid/44fe89c9-58c1-4b54-8660-8fe2e01ae694>	Distal radials of spinous dorsal fin: dorsal-fin spines absent
<http://purl.org/phenoscape/uuid/b60f4391-2a68-4f37-b301-1688b9836818>	<http://purl.org/phenoscape/uuid/464f12ef-cd0d-4592-8eeb-1052c607c001>	Dorsal and anal fins: subtriangular; dorsal-fin rays ii + 5 + ii, anal-fin rays ii + 4 + I; rudimentary unsegmented ray immediately posterior to both dorsal- and anal-fin origin; anal-fin origin in vertical line posterior to dorsal-fin base
<http://purl.org/phenoscape/uuid/22bacc09-f68a-49fb-be22-9b9a3187765b>	<http://purl.org/phenoscape/uuid/46541d34-e968-4085-9bbd-5324f87291e5>	Uroneural: present
<http://purl.org/phenoscape/uuid/03a2cee1-343f-4c26-b9e5-fa4a9e1123e8>	<http://purl.org/phenoscape/uuid/4833c667-108c-4d68-a371-511c527da7fb>	Bony hooks on anal-fin rays of adult males: absent
<http://purl.org/phenoscape/uuid/a65461d6-2153-4ebb-8b34-cedb901eb573>	<http://purl.org/phenoscape/uuid/49d939cc-86aa-4459-ad3d-f2f875ee8912>	Dorsal-fin rays: present
<http://purl.org/phenoscape/uuid/edb55556-6d8f-4942-93c2-a25bd015b1b7>	<http://purl.org/phenoscape/uuid/4a2bea67-12ed-4162-83ef-374da91d1031>	Dorsal-, anal-, and pectoral-fin rays: branched
<http://purl.org/phenoscape/uuid/a85bce4f-20ca-4fc1-9d20-6f3605279b5c>	<http://purl.org/phenoscape/uuid/4f8bd532-7588-497f-97e3-511a9905b40c>	Lateropterygium element: in astroblepids the lateropterygium is proximally disk-shaped
<http://purl.org/phenoscape/uuid/9bc8143c-e566-4189-9712-642cb4ab7e1a>	<http://purl.org/phenoscape/uuid/5019dfdf-171d-45d5-93a4-f5647b235d36>	Fin ray supports: present
<http://purl.org/phenoscape/uuid/612315d0-39fe-4447-be9a-dde055148ad5>	<http://purl.org/phenoscape/uuid/501c4547-d99a-482a-9654-2fe77850ca28>	Pectoral spine shape: pectoral spine elongate and recurved
